Date,Price,Open,High,Low,Change %
03/24/2023,4.3146,4.4323,4.4718,4.1443,-1.38%
03/23/2023,4.375,4.544,4.571,4.345,-3.08%
03/22/2023,4.514,4.765,4.77,4.479,-2.53%
03/21/2023,4.631,4.389,4.639,4.348,5.59%
03/20/2023,4.386,4.338,4.43,4.168,0.79%
03/19/2023,4.3515,4.3515,4.3515,4.3515,1.06%
03/17/2023,4.306,4.536,4.624,4.255,-4.16%
03/16/2023,4.493,4.345,4.539,4.213,5.03%
03/15/2023,4.278,4.623,4.674,4.025,-4.40%
03/14/2023,4.475,4.424,4.626,4.283,4.26%
03/13/2023,4.292,4.901,5.012,4.254,-12.03%
03/12/2023,4.8789,4.8762,4.8789,4.8762,0.06%
03/10/2023,4.876,5.196,5.265,4.871,-5.91%
03/09/2023,5.182,5.27,5.289,5.155,-1.16%
03/08/2023,5.243,5.222,5.262,5.202,0.56%
03/07/2023,5.214,5.086,5.227,5.042,3.12%
03/06/2023,5.056,5.056,5.062,5.023,-0.22%
03/05/2023,5.0674,5.0347,5.0674,5.0347,0.76%
03/03/2023,5.029,5.063,5.078,5.021,-0.47%
03/02/2023,5.053,5.056,5.107,5.031,-0.12%
03/01/2023,5.059,5.04,5.094,5.031,0.98%
02/28/2023,5.01,5.056,5.062,5.01,-0.40%
02/27/2023,5.03,5.049,5.082,5.021,-0.49%
02/26/2023,5.0547,5.0492,5.0738,5.0492,0.05%
02/24/2023,5.052,5.062,5.09,5.036,0.46%
02/23/2023,5.029,5.097,5.097,5.026,-0.71%
02/22/2023,5.065,5.109,5.111,5.04,0.60%
02/21/2023,5.035,5.019,5.07,5.019,0.10%
02/20/2023,5.0298,5.0298,5.0298,5.0298,0.60%
02/17/2023,5,5.008,5.051,4.976,0.62%
02/16/2023,4.969,5,5.021,4.956,-0.08%
02/15/2023,4.973,5.016,5.032,4.962,-0.32%
02/14/2023,4.989,4.946,4.992,4.891,1.42%
02/13/2023,4.919,4.928,4.952,4.892,-0.23%
02/12/2023,4.9305,4.8952,4.9305,4.887,0.73%
02/10/2023,4.895,4.924,4.952,4.873,0.31%
02/09/2023,4.88,4.9,4.908,4.837,0.14%
02/08/2023,4.873,4.917,4.919,4.845,-0.16%
02/07/2023,4.881,4.906,4.906,4.846,0.49%
02/06/2023,4.857,4.823,4.895,4.787,0.77%
02/05/2023,4.8198,4.8225,4.8225,4.8198,0.96%
02/03/2023,4.774,4.677,4.795,4.635,2.91%
02/02/2023,4.639,4.661,4.685,4.631,-0.47%
02/01/2023,4.661,4.711,4.718,4.656,-0.53%
01/31/2023,4.686,4.747,4.754,4.681,-0.59%
01/30/2023,4.714,4.695,4.725,4.695,0.34%
01/29/2023,4.6981,4.6791,4.6981,4.6791,0.41%
01/27/2023,4.679,4.703,4.712,4.674,0.15%
01/26/2023,4.672,4.68,4.697,4.661,0.15%
01/25/2023,4.665,4.711,4.73,4.656,-0.43%
01/24/2023,4.685,4.747,4.75,4.68,-0.59%
01/23/2023,4.713,4.732,4.742,4.699,-0.23%
01/22/2023,4.7239,4.7293,4.7293,4.7239,0.64%
01/20/2023,4.694,4.69,4.71,4.683,0.36%
01/19/2023,4.677,4.661,4.706,4.647,0.58%
01/18/2023,4.65,4.699,4.729,4.644,-0.70%
01/17/2023,4.683,4.71,4.745,4.68,-0.98%
01/16/2023,4.7293,4.7266,4.7293,4.7266,0.62%
